transientid,ML_PROB_FRB
0.296746_DM_56.80_beam_0C2020_03_30_04:06:21.fil.hdf5,1.0
0.304711_DM_238.23_beam_0C2020_04_11_21:32:27.fil.hdf5,0.9999945
0.304867_DM_56.80_beam_0C2020_03_30_03:57:57.fil.hdf5,0.9998858
0.306553_DM_61.40_beam_6C2020_02_02_08:03:52.fil.hdf5,0.0005165147
0.308851_DM_75.83_beam_0C2020_04_07_06:05:23.fil.hdf5,1.0
0.31543_DM_34.38_beam_10C2020_04_14_02:29:25.fil.hdf5,0.0044599795
0.316714_DM_376.69_beam_0I2020_01_12_23:37:27.fil.hdf5,0.0007196369
0.318488_DM_156.88_beam_0C2020_04_12_01:28:54.fil.hdf5,0.99999845
0.320484_DM_163.63_beam_0C2020_04_19_17:48:14.fil.hdf5,1.0
0.320542_DM_52.19_beam_1C2020_02_04_02:46:19.fil.hdf5,6.071493e-06
0.320791_DM_55.26_beam_8C2020_02_02_08:03:52.fil.hdf5,1.3213924e-05
0.323295_DM_315.29_beam_0I2020_01_12_23:56:25.fil.hdf5,0.00025341235
0.323388_DM_2475.99_beam_273C2020_01_02_15:27:13.fil.hdf5,0.0013883671
0.324926_DM_46.05_beam_0I2020_04_13_01:05:24.fil.hdf5,5.6039367e-05
0.325031_DM_49.12_beam_0C2020_03_28_15:24:16.fil.hdf5,0.9992551
0.325227_DM_465.44_beam_2C2020_02_02_04:32:08_1.fil.hdf5,8.000939e-08
0.333806_DM_464.79_beam_11C2020_02_02_04:32:08.fil.hdf5,3.3191053e-08
0.352796_DM_2654.34_beam_532C2020_04_13_00:54:01.fil.hdf5,1.0677802e-06
0.354664_DM_961.05_beam_10C2020_05_30_10:21:16.fil.hdf5,0.0065481737
0.354688_DM_77.06_beam_0I2020_01_12_23:33:26.fil.hdf5,0.00018871286
0.363359_DM_45.74_beam_2C2020_03_23_03:07:49.fil.hdf5,5.7745186e-05
0.364486_DM_177.75_beam_0I2020_01_12_23:36:39.fil.hdf5,0.0067445775
0.366572_DM_501.30_beam_0C2020_03_15_20:13:09.fil.hdf5,1.0
0.368719_DM_3021.10_beam_26C2019_12_18_08:44:19.fil.hdf5,9.8228586e-05
0.370858_DM_29.16_beam_0C2020_04_13_09:27:12.fil.hdf5,0.9372561
0.371779_DM_75.83_beam_0C2020_02_27_23:54:14.fil.hdf5,1.0
0.372239_DM_352.74_beam_0I2020_01_12_23:55:03.fil.hdf5,0.0002727609
0.37392_DM_23.02_beam_0C2020_04_13_08:28:35.fil.hdf5,1.0
0.376221_DM_207.84_beam_0C2020_03_15_23:13:44.fil.hdf5,6.4463616e-06
0.376525_DM_89.34_beam_0I2020_01_12_23:54:01.fil.hdf5,0.0076207016
0.377295_DM_87.19_beam_0C2020_04_07_02:13:49.fil.hdf5,0.99999976
0.378513_DM_175.30_beam_0C2020_03_23_03:19:17.fil.hdf5,1.0
0.378979_DM_174.99_beam_0C2020_04_19_19:30:22.fil.hdf5,0.99991083
0.019602_DM_633.00_beam_1C2020_02_14_04:58:13.fil.hdf5,6.066441e-08
0.019602_DM_639.52_beam_8C2020_02_14_04:58:13.fil.hdf5,1.2963958e-05
0.019604_DM_143.06_beam_5C2020_02_02_11:55:53.fil.hdf5,1.10302935e-05
0.019604_DM_953.46_beam_485C2020_05_31_19:47:03.fil.hdf5,0.00029201136
0.020215_DM_634.96_beam_9C2020_02_14_04:58:13.fil.hdf5,1.021732e-06
0.020823_DM_404.80_beam_11C2020_02_14_04:34:59.fil.hdf5,0.00029282877
